# frequency	phase_space
2.048065e+01	1.180955e+08
2.057506e+01	1.195314e+08
2.065500e+01	2.184946e+08
2.070931e+01	1.101850e+08
2.105047e+01	1.531290e+08
2.180404e+01	1.244084e+08
2.211789e+01	9.857762e+07
2.212632e+01	9.644646e+07
2.214221e+01	9.976587e+07
2.216309e+01	1.037693e+08
2.219166e+01	1.073308e+08
2.222726e+01	1.112888e+08
2.270585e+01	1.107952e+08
2.274888e+01	9.997549e+07
2.343055e+01	1.277354e+08
2.351291e+01	1.319425e+08
2.356782e+01	1.263008e+08
2.444988e+01	9.379146e+07
2.445018e+01	9.371785e+07
2.461635e+01	3.057205e+08
2.589818e+01	1.626593e+08
2.592569e+01	1.434091e+08
2.592614e+01	1.433190e+08
2.592744e+01	1.429622e+08
2.594195e+01	1.397035e+08
2.627154e+01	1.193758e+08
2.671792e+01	1.782659e+08
2.676554e+01	1.527005e+08
2.681118e+01	1.596424e+08
2.683955e+01	1.637818e+08
2.684792e+01	1.680189e+08
2.685670e+01	1.748186e+08
2.685889e+01	1.771086e+08
2.714827e+01	9.853113e+07
2.715608e+01	1.198923e+08
2.726100e+01	1.128188e+08
2.752728e+01	1.232487e+08
2.778800e+01	1.508649e+08
2.787586e+01	1.601854e+08
2.792851e+01	1.979086e+08
2.799692e+01	1.178294e+08
2.812494e+01	1.381602e+08
2.861594e+01	1.306947e+08
2.894476e+01	1.115405e+08
3.041596e+01	1.148435e+08
3.059304e+01	9.248740e+07
3.076477e+01	8.576706e+07
3.095463e+01	8.720486e+07
3.110679e+01	8.323048e+07
3.128100e+01	1.610354e+08
3.207905e+01	8.014101e+07
3.224234e+01	1.060510e+08
3.224280e+01	1.049596e+08
3.224288e+01	1.048467e+08
3.224465e+01	1.031753e+08
3.231816e+01	9.461340e+07
3.260609e+01	9.247378e+07
3.260614e+01	9.253599e+07
3.260617e+01	9.258106e+07
3.260619e+01	9.260206e+07
3.517575e+01	6.431776e+07
3.517839e+01	6.659239e+07
3.519220e+01	7.103041e+07
3.520972e+01	8.276375e+07
3.570493e+01	5.304861e+07
3.570731e+01	5.340045e+07
3.584891e+01	6.921663e+07
3.588974e+01	8.791583e+07
3.928612e+01	5.182940e+07
3.929032e+01	5.049920e+07
3.930260e+01	5.317535e+07
3.931322e+01	5.182356e+07
4.207881e+01	7.060359e+07
4.208307e+01	7.093346e+07
4.212785e+01	5.427366e+07
4.213882e+01	5.247571e+07
4.447306e+01	5.780488e+07
4.447342e+01	5.774919e+07
4.447620e+01	5.746163e+07
4.449128e+01	5.827604e+07
4.452419e+01	9.284067e+07
4.453862e+01	6.336015e+07
4.475098e+01	5.388165e+07
4.475278e+01	5.100034e+07
4.892789e+01	5.124166e+07
4.893088e+01	6.036253e+07
4.894985e+01	5.807829e+07
4.896178e+01	6.501028e+07
4.922105e+01	5.195096e+07
4.922348e+01	5.111611e+07
4.923877e+01	4.797123e+07
4.924847e+01	4.455459e+07
5.400302e+01	5.393295e+07
5.400650e+01	4.021437e+07
5.402237e+01	3.894830e+07
5.403279e+01	3.526737e+07
5.434185e+01	8.686928e+07
5.434605e+01	7.227127e+07
5.436687e+01	8.071803e+07
5.438049e+01	9.029060e+07
5.567792e+01	1.001651e+08
5.568156e+01	9.369885e+07
5.569410e+01	7.713745e+07
5.570234e+01	7.972612e+07
5.658219e+01	7.271396e+07
5.658256e+01	7.242097e+07
5.658383e+01	7.222023e+07
5.658459e+01	7.228991e+07
5.829565e+01	4.350532e+07
5.829623e+01	4.313668e+07
5.830170e+01	4.168967e+07
5.830447e+01	4.190526e+07
6.112933e+01	7.377869e+07
6.114436e+01	3.683269e+07
6.119569e+01	4.181418e+07
6.120391e+01	4.815874e+07
6.120411e+01	4.840047e+07
6.120596e+01	5.047944e+07
6.120652e+01	5.102075e+07
6.122724e+01	5.371749e+07
6.152076e+01	5.958524e+07
6.153378e+01	5.147389e+07
6.157813e+01	4.648443e+07
6.160523e+01	7.993844e+07
9.099504e+01	2.408328e+06
9.099504e+01	2.408347e+06
9.099504e+01	2.408426e+06
9.099505e+01	2.408520e+06
9.100652e+01	3.131106e+06
9.100653e+01	3.131826e+06
9.100653e+01	3.132534e+06
9.100653e+01	3.132592e+06
9.127078e+01	6.425546e+06
9.127080e+01	6.464378e+06
9.127081e+01	6.482248e+06
9.127083e+01	6.521319e+06
9.127916e+01	7.111660e+06
9.127917e+01	7.080530e+06
9.127918e+01	7.045739e+06
9.127919e+01	7.020076e+06
1.161420e+02	2.738920e+06
1.161420e+02	2.738907e+06
1.161669e+02	2.168996e+06
1.161669e+02	2.168985e+06
1.039076e+00	5.901425e+06
1.039076e+00	5.901425e+06
1.071845e+00	6.259176e+06
1.071845e+00	6.259176e+06
1.377883e+00	7.956759e+06
1.377883e+00	7.956759e+06
2.426148e+00	1.368401e+08
2.426148e+00	1.368401e+08
3.170994e+00	4.255980e+07
3.170994e+00	4.255980e+07
3.945221e+00	3.304579e+07
3.945221e+00	3.304579e+07
4.084185e+00	3.813638e+07
4.084185e+00	3.813638e+07
4.460981e+00	3.341431e+07
4.460981e+00	3.341431e+07
4.633443e+00	3.159604e+07
4.633443e+00	3.159604e+07
5.437162e+00	3.118649e+07
5.437162e+00	3.118649e+07
5.874969e+00	3.710813e+07
5.874969e+00	3.710813e+07
7.186842e+00	4.099541e+07
7.186842e+00	4.099541e+07
7.465576e+00	3.205942e+07
7.465576e+00	3.205942e+07
8.066651e+00	3.762403e+07
8.066651e+00	3.762403e+07
8.716138e+00	3.021567e+07
8.716138e+00	3.021567e+07
9.320412e+00	5.366716e+07
9.320412e+00	5.366716e+07
9.556062e+00	4.468431e+07
9.556062e+00	4.468431e+07
1.041194e+01	4.029622e+07
1.041194e+01	4.029623e+07
1.052282e+01	3.298641e+07
1.052282e+01	3.298641e+07
1.094094e+01	4.580709e+07
1.094094e+01	4.580709e+07
1.127863e+01	7.728028e+07
1.127863e+01	7.728028e+07
1.153449e+01	4.334627e+07
1.153449e+01	4.334627e+07
1.228747e+01	3.610524e+07
1.228747e+01	3.610524e+07
1.229628e+01	3.564907e+07
1.229628e+01	3.564907e+07
1.237457e+01	5.820560e+07
1.237457e+01	5.820560e+07
