degree,orig,x0.5,x2,x4,x10,x20,x50
-19.5,0.00495,0.00421,0.00188,6.54792E-4,3.67083E-4,2.85938E-4,1.80208E-4
-18.5,0.0056,0.00438,0.00253,0.00102,5.89479E-4,4.75312E-4,3.15937E-4
-17.5,0.00635,0.00449,0.0034,0.0016,9.43958E-4,7.41979E-4,5.37812E-4
-16.5,0.00738,0.0048,0.00456,0.00241,0.00147,0.0012,8.8E-4
-15.5,0.00856,0.00535,0.00599,0.00356,0.00222,0.00183,0.00141
-14.5,0.00989,0.00609,0.00778,0.00509,0.00326,0.00269,0.00216
-13.5,0.01155,0.00713,0.00997,0.00711,0.00469,0.0039,0.00322
-12.5,0.01357,0.00855,0.0125,0.00969,0.00665,0.00548,0.00461
-11.5,0.01588,0.01025,0.01561,0.01281,0.0093,0.00757,0.0065
-10.5,0.01851,0.01257,0.01917,0.01676,0.01264,0.01021,0.00884
-9.5,0.02172,0.01509,0.02307,0.02117,0.01695,0.01363,0.01158
-8.5,0.02515,0.01819,0.0272,0.02622,0.02199,0.01797,0.01496
-7.5,0.02867,0.02151,0.03176,0.03168,0.02815,0.02361,0.01894
-6.5,0.0324,0.02509,0.03618,0.03734,0.03528,0.03076,0.02384
-5.5,0.03612,0.02854,0.04079,0.04303,0.04282,0.03943,0.03074
-4.5,0.03954,0.0319,0.04489,0.04823,0.05058,0.04946,0.04091
-3.5,0.04266,0.03515,0.04863,0.05314,0.05782,0.06021,0.05585
-2.5,0.04501,0.0374,0.05141,0.05686,0.0641,0.06988,0.07491
-1.5,0.04683,0.03916,0.05348,0.05968,0.06855,0.07817,0.0937
-0.5,0.04775,0.0403,0.05458,0.061,0.07113,0.08214,0.10567
0.5,0.04767,0.04028,0.05459,0.06101,0.07108,0.08232,0.10587
1.5,0.04685,0.03934,0.05339,0.05963,0.06865,0.07798,0.09384
2.5,0.04509,0.03755,0.05156,0.05681,0.06411,0.07005,0.0748
3.5,0.04273,0.03497,0.04841,0.05309,0.05772,0.06,0.05579
4.5,0.03944,0.03203,0.04489,0.04841,0.05068,0.04943,0.04082
5.5,0.03613,0.02864,0.04069,0.04295,0.04271,0.03944,0.03069
6.5,0.03247,0.02503,0.0362,0.03732,0.03512,0.03073,0.02382
7.5,0.02876,0.02153,0.03179,0.03168,0.02827,0.02366,0.01888
8.5,0.02507,0.01821,0.02726,0.02621,0.02214,0.018,0.01501
9.5,0.02169,0.01517,0.02304,0.02114,0.01686,0.01362,0.01164
10.5,0.01863,0.01258,0.01918,0.01679,0.01272,0.01021,0.00887
11.5,0.01589,0.01032,0.0156,0.0129,0.00924,0.0075,0.0065
12.5,0.01364,0.00857,0.01251,0.00963,0.00669,0.00554,0.00464
13.5,0.01153,0.00713,0.00993,0.00713,0.00471,0.00393,0.00322
14.5,0.00989,0.00613,0.00775,0.00509,0.00327,0.00271,0.00213
15.5,0.00847,0.00539,0.006,0.00355,0.00219,0.00181,0.0014
16.5,0.00734,0.00482,0.00452,0.00239,0.00146,0.0012,8.875E-4
17.5,0.00639,0.00454,0.00345,0.0016,9.43542E-4,7.60104E-4,5.49583E-4
18.5,0.0056,0.00434,0.00252,0.00103,5.91354E-4,4.71458E-4,3.2E-4
19.5,0.00492,0.00426,0.00189,6.55625E-4,3.60313E-4,2.71875E-4,1.78646E-4
20.5,0.00434,0.00424,0.00139,4.08958E-4,2.11458E-4,1.62708E-4,1.02187E-4
21.5,0.00383,0.00426,0.00102,2.39062E-4,1.20938E-4,9.44792E-5,5.52083E-5
22.5,0.00343,0.00434,7.06354E-4,1.41458E-4,7.28125E-5,5.42708E-5,3E-5
23.5,0.00302,0.00436,5.10104E-4,7.46875E-5,4.0625E-5,2.64583E-5,1.33333E-5
24.5,0.00263,0.00445,3.56146E-4,4.54167E-5,2.27083E-5,1.1875E-5,6.14583E-6
25.5,0.00228,0.0045,2.49062E-4,2.3125E-5,1.07292E-5,5.9375E-6,3.125E-6
26.5,0.002,0.00457,1.77917E-4,1.48958E-5,5.52083E-6,3.4375E-6,1.25E-6
27.5,0.00172,0.00461,1.20104E-4,7.5E-6,3.33333E-6,2.08333E-6,8.33333E-7
28.5,0.00146,0.00459,8.52083E-5,2.70833E-6,1.14583E-6,4.16667E-7,1.04167E-7
29.5,0.00126,0.00463,5.375E-5,1.875E-6,3.125E-7,2.08333E-7,0
30.5,0.00108,0.00462,3.85417E-5,1.45833E-6,1.04167E-7,1.04167E-7,1.04167E-7
31.5,8.93646E-4,0.00465,2.3125E-5,1.04167E-7,0,0,0
32.5,7.62917E-4,0.00457,1.36458E-5,0,0,0,0
33.5,6.16875E-4,0.00452,8.125E-6,1.04167E-7,1.04167E-7,0,0
34.5,5.08542E-4,0.00448,5.20833E-6,0,0,0,0
35.5,4.16042E-4,0.00434,3.64583E-6,0,0,0,0
36.5,3.49792E-4,0.00426,2.5E-6,0,0,0,0
37.5,2.79271E-4,0.00418,1.875E-6,0,0,0,0
38.5,2.23854E-4,0.00399,1.14583E-6,0,0,0,0
39.5,1.78646E-4,0.00383,4.16667E-7,0,0,0,0
40.5,1.34375E-4,0.00371,4.16667E-7,0,0,0,0
41.5,1.03542E-4,0.00353,0,0,0,0,0
42.5,8.73958E-5,0.00335,1.04167E-7,0,0,0,0
43.5,6.71875E-5,0.00316,1.04167E-7,0,0,0,0
44.5,5.01042E-5,0.00302,0,0,0,0,0
45.5,3.5E-5,0.00285,0,0,0,0,0
46.5,2.51042E-5,0.00266,0,0,0,0,0
47.5,1.91667E-5,0.00249,0,0,0,0,0
48.5,1.66667E-5,0.00233,0,0,0,0,0
49.5,1.16667E-5,0.00217,0,0,0,0,0
50.5,8.4375E-6,0.002,0,0,0,0,0
51.5,5.9375E-6,0.00185,0,0,0,0,0
