time_ps,kappa_avg
2.485,5.525263113
2.49,5.545565014
2.495,5.896483879
2.5,5.885433002
2.505,5.564751863
2.51,5.613900153
2.515,5.86319552
2.52,5.839074437
2.525,5.786536902
2.53,5.84911015
2.535,5.768700595
2.54,5.72487348
2.545,5.888524638
2.55,5.819072204
2.555,5.543024411
2.56,5.674380719
2.565,6.012474626
2.57,5.909636107
2.575,5.665506558
2.58,5.762924359
2.585,5.906344047
2.59,5.922137343
2.595,6.015368822
2.6,6.003259619
2.605,5.807051535
2.61,5.902849411
2.615,6.210762395
2.62,6.133760527
2.625,5.910308711
2.63,6.089100517
2.635,6.300204571
2.64,6.157291127
2.645,6.044585241
2.65,6.114089609
2.655,6.119448563
2.66,6.194355017
2.665,6.35969423
2.67,6.215119253
2.675,5.975849831
2.68,6.196004751
2.685,6.501817694
2.69,6.351237819
2.695,6.16193406
2.7,6.286133319
2.705,6.361414851
2.71,6.321766196
2.715,6.404030536
2.72,6.401324018
2.725,6.278656332
2.73,6.409911847
2.735,6.567489771
2.74,6.315156458
2.745,6.104261747
2.75,6.354347826
2.755,6.527893213
2.76,6.33268933
2.765,6.226524621
2.77,6.293650847
2.775,6.29846667
2.78,6.3973124
2.785,6.53527682
2.79,6.354177241
2.795,6.15251117
2.8,6.360590084
2.805,6.516932703
2.81,6.274097043
2.815,6.171827819
2.82,6.388497703
2.825,6.437764806
2.83,6.313654066
2.835,6.296051913
2.84,6.236459991
2.845,6.169868374
2.85,6.355888304
2.855,6.450245389
2.86,6.142758986
2.865,5.992059755
2.87,6.280211075
2.875,6.414581994
2.88,6.243808584
2.885,6.220296193
2.89,6.305541289
2.895,6.272917124
2.9,6.319589765
2.905,6.395686868
2.91,6.24715915
2.915,6.197247071
2.92,6.459004925
2.925,6.489315857
2.93,6.170652337
2.935,6.134364044
2.94,6.398542142
2.945,6.437030106
2.95,6.319364483
2.955,6.305934567
2.96,6.252556176
2.965,6.259675795
2.97,6.520057643
2.975,6.628921345
2.98,6.401111521
2.985,6.398989995
2.99,6.695112181
2.995,6.695222403
3,6.472578814
3.005,6.516341118
3.01,6.655645703
3.015,6.630746062
3.02,6.642389565
3.025,6.647341798
3.03,6.506168274
3.035,6.574315513
3.04,6.894845029
3.045,6.88051259
3.05,6.57330606
3.055,6.604331307
3.06,6.8588363
3.065,6.861290639
3.07,6.790724593
3.075,6.855052536
3.08,6.84535515
3.085,6.84304516
3.09,6.98747551
3.095,6.943885825
3.1,6.710467316
3.105,6.796983579
3.11,7.052640691
3.115,6.917172933
3.12,6.650498509
3.125,6.72826237
3.13,6.891411617
3.135,6.894573375
3.14,6.910235634
3.145,6.857934119
3.15,6.682647631
3.155,6.751208624
3.16,6.998157869
3.165,6.907307054
3.17,6.672340083
