# frequency	phase_space
2.620676e+01	8.650550e+07
2.621413e+01	9.054507e+07
2.622152e+01	9.295319e+07
2.624949e+01	9.787308e+07
2.676546e+01	8.772932e+07
2.680190e+01	8.121365e+07
2.683895e+01	9.030152e+07
2.713796e+01	8.367548e+07
2.715646e+01	7.784985e+07
2.725765e+01	7.775930e+07
2.751299e+01	1.095716e+08
2.764886e+01	9.806007e+07
2.786562e+01	7.896535e+07
2.793772e+01	8.597443e+07
2.798086e+01	8.784347e+07
2.818169e+01	8.715842e+07
2.863330e+01	8.804852e+07
2.868760e+01	8.142529e+07
2.882270e+01	1.009447e+08
2.886918e+01	8.164049e+07
2.895131e+01	7.721413e+07
2.900524e+01	8.345019e+07
3.043986e+01	1.185094e+08
3.058706e+01	9.123257e+07
3.076812e+01	8.546799e+07
3.095567e+01	1.251404e+08
3.111611e+01	7.531543e+07
3.127342e+01	7.989960e+07
3.185956e+01	7.002857e+07
3.191342e+01	7.541698e+07
3.193696e+01	8.208498e+07
3.194023e+01	8.898085e+07
3.209222e+01	7.856592e+07
3.233478e+01	1.517821e+08
3.284696e+01	6.985752e+07
3.284902e+01	7.385315e+07
3.284921e+01	7.432364e+07
3.284992e+01	7.619270e+07
3.410350e+01	9.043190e+07
3.412021e+01	8.745036e+07
3.412109e+01	9.212470e+07
3.412612e+01	8.087048e+07
3.517543e+01	7.088120e+07
3.517803e+01	7.327244e+07
3.519184e+01	9.593104e+07
3.520936e+01	8.314058e+07
3.570852e+01	9.044734e+07
3.571052e+01	9.221298e+07
3.585284e+01	6.158609e+07
3.589247e+01	8.084081e+07
3.929028e+01	7.150843e+07
3.929448e+01	6.773026e+07
3.930674e+01	7.075883e+07
3.931743e+01	7.753053e+07
4.208782e+01	5.841775e+07
4.209215e+01	6.003752e+07
4.213671e+01	6.043498e+07
4.214771e+01	6.223779e+07
4.447585e+01	5.724762e+07
4.447891e+01	5.822436e+07
4.448220e+01	5.835083e+07
4.449723e+01	6.940555e+07
4.451690e+01	6.059191e+07
4.453482e+01	4.700799e+07
4.474386e+01	4.417131e+07
4.474575e+01	4.337465e+07
4.893068e+01	5.412866e+07
4.893341e+01	5.142837e+07
4.895262e+01	5.397130e+07
4.896441e+01	4.906210e+07
4.922423e+01	4.863112e+07
4.922646e+01	5.088115e+07
4.924193e+01	4.400044e+07
4.925152e+01	5.071454e+07
5.400993e+01	4.466296e+07
5.401355e+01	4.638229e+07
5.402927e+01	5.338972e+07
5.403988e+01	5.051145e+07
5.435068e+01	3.153178e+07
5.435509e+01	3.058859e+07
5.437569e+01	5.297124e+07
5.438960e+01	5.865785e+07
5.568074e+01	8.060996e+07
5.568406e+01	7.807457e+07
5.569683e+01	5.170973e+07
5.570495e+01	6.013873e+07
5.658373e+01	4.717623e+07
5.658406e+01	4.741318e+07
5.658536e+01	4.830990e+07
5.658611e+01	4.882146e+07
5.830133e+01	4.078067e+07
5.830204e+01	4.034536e+07
5.830741e+01	3.748086e+07
5.831032e+01	3.617967e+07
6.113879e+01	2.644836e+07
6.115220e+01	2.484579e+07
6.120457e+01	2.832104e+07
6.120887e+01	2.885185e+07
6.120922e+01	2.890483e+07
6.121093e+01	2.929157e+07
6.121155e+01	2.948663e+07
6.123572e+01	4.285618e+07
6.153000e+01	3.763335e+07
6.154160e+01	3.795439e+07
6.158694e+01	2.799674e+07
6.161362e+01	2.232229e+07
9.099529e+01	2.945393e+06
9.099529e+01	2.944902e+06
9.099530e+01	2.942828e+06
9.099530e+01	2.940467e+06
9.100666e+01	1.883973e+06
9.100667e+01	1.883895e+06
9.100667e+01	1.883817e+06
9.100667e+01	1.883811e+06
9.127116e+01	1.483060e+06
9.127118e+01	1.484043e+06
9.127119e+01	1.484557e+06
9.127121e+01	1.485570e+06
9.127947e+01	4.454424e+06
9.127948e+01	4.464775e+06
9.127949e+01	4.475704e+06
9.127950e+01	4.484459e+06
1.161424e+02	2.875950e+06
1.161424e+02	2.875925e+06
1.161672e+02	2.208248e+06
1.161672e+02	2.208237e+06
1.265928e+00	7.164254e+06
1.265928e+00	7.164254e+06
2.406576e+00	7.839196e+06
2.406576e+00	7.839196e+06
3.442516e+00	1.044540e+07
3.442516e+00	1.044540e+07
4.136868e+00	1.449224e+07
4.136868e+00	1.449224e+07
4.146881e+00	1.434589e+07
4.146881e+00	1.434589e+07
4.497196e+00	1.769322e+07
4.497196e+00	1.769322e+07
4.884766e+00	1.908305e+07
4.884766e+00	1.908305e+07
4.928120e+00	2.108295e+07
4.928120e+00	2.108295e+07
6.062714e+00	1.826194e+07
6.062714e+00	1.826194e+07
6.186870e+00	2.772557e+07
6.186870e+00	2.772557e+07
7.363357e+00	2.475757e+07
7.363357e+00	2.475757e+07
8.087275e+00	2.655043e+07
8.087275e+00	2.655043e+07
8.263790e+00	2.274421e+07
8.263790e+00	2.274421e+07
8.746736e+00	2.553360e+07
8.746736e+00	2.553360e+07
8.766381e+00	2.592988e+07
8.766381e+00	2.592989e+07
9.563218e+00	2.638197e+07
9.563218e+00	2.638197e+07
1.000317e+01	2.563124e+07
