time_ps,kappa_avg
2.71,3.348885854
2.715,3.301707916
2.72,3.379974199
2.725,3.429338282
2.73,3.373764095
2.735,3.312058236
2.74,3.282957524
2.745,3.291517523
2.75,3.372560113
2.755,3.433474738
2.76,3.366322192
2.765,3.303275334
2.77,3.366447267
2.775,3.421656102
2.78,3.378003681
2.785,3.356889513
2.79,3.388112981
2.795,3.378438852
2.8,3.339313862
2.805,3.317892232
2.81,3.295956322
2.815,3.318420971
2.82,3.414211193
2.825,3.438235648
2.83,3.335554855
2.835,3.289578896
2.84,3.377601153
2.845,3.443364111
2.85,3.425642838
2.855,3.399395423
2.86,3.377833499
2.865,3.363718328
2.87,3.395556172
2.875,3.416305994
2.88,3.376626972
2.885,3.379669531
2.89,3.449618365
2.895,3.44478741
2.9,3.364744753
2.905,3.37113591
2.91,3.458953628
2.915,3.500076538
2.92,3.478637614
2.925,3.433889155
2.93,3.382496052
2.935,3.397979474
2.94,3.485315777
2.945,3.50089513
2.95,3.422672484
2.955,3.406192729
2.96,3.467687688
2.965,3.475375687
2.97,3.44476484
2.975,3.462699619
2.98,3.493442715
2.985,3.490626619
2.99,3.477696274
2.995,3.438432798
3,3.395072833
3.005,3.447685962
3.01,3.549774716
3.015,3.536008249
3.02,3.437877832
3.025,3.423787902
3.03,3.481292808
3.035,3.505897823
3.04,3.500309839
3.045,3.485211364
3.05,3.448916018
3.055,3.441333579
3.06,3.469189426
3.065,3.451209918
3.07,3.41371112
3.075,3.458653802
3.08,3.518349346
3.085,3.471443623
3.09,3.397197565
3.095,3.409755592
3.1,3.467006171
3.105,3.497916946
3.11,3.490361905
3.115,3.427044303
3.12,3.361111592
3.125,3.390512844
3.13,3.458382278
3.135,3.436851877
3.14,3.380480221
3.145,3.397851954
3.15,3.430262788
3.155,3.412197615
3.16,3.402777859
3.165,3.43240801
3.17,3.460012825
3.175,3.481853519
3.18,3.473326083
3.185,3.403843109
3.19,3.363224639
3.195,3.438717451
3.2,3.516072203
3.205,3.477211973
3.21,3.412109845
3.215,3.417560307
3.22,3.45223685
3.225,3.477765914
3.23,3.499834055
3.235,3.492876571
3.24,3.477331111
3.245,3.503119015
3.25,3.520264395
3.255,3.476363135
3.26,3.465945004
3.265,3.540365613
3.27,3.579704783
3.275,3.523958146
3.28,3.469627116
3.285,3.477607024
3.29,3.519835407
3.295,3.569949876
3.3,3.577865502
3.305,3.518351039
3.31,3.481102636
3.315,3.53161776
3.32,3.572595451
3.325,3.542484685
3.33,3.526311111
3.335,3.55576226
3.34,3.558592113
3.345,3.528451918
3.35,3.518212817
3.355,3.531001239
3.36,3.564534097
3.365,3.603787414
3.37,3.577737556
3.375,3.488499185
3.38,3.468454905
3.385,3.546098816
3.39,3.589741287
3.395,3.55130534
3.4,3.51434521
3.405,3.511584378
3.41,3.521594374
3.415,3.545370886
3.42,3.557446125
3.425,3.537861922
3.43,3.536235132
3.435,3.562071314
3.44,3.534271371
3.445,3.469818449
3.45,3.47921136
3.455,3.548474943
3.46,3.563918175
3.465,3.515956302
3.47,3.473073586
3.475,3.466436123
3.48,3.506601129
3.485,3.565017132
3.49,3.56333171
3.495,3.506272903
3.5,3.49761598
3.505,3.539257308
3.51,3.540998178
3.515,3.510042504
3.52,3.51735585
3.525,3.5407952
3.53,3.532206813
3.535,3.507116682
3.54,3.488511192
3.545,3.496790969
3.55,3.556110078
3.555,3.612014316
3.56,3.576305756
3.565,3.503135962
3.57,3.509395961
3.575,3.57226369
3.58,3.593864691
3.585,3.573840405
3.59,3.552607491
3.595,3.538506017
3.6,3.544406849
3.605,3.565311182
3.61,3.562882091
3.615,3.556143303
3.62,3.592960968
3.625,3.618601754
3.63,3.570429415
3.635,3.520647583
3.64,3.553478625
3.645,3.61549814
3.65,3.630942316
3.655,3.601220914
3.66,3.558183613
3.665,3.543279232
3.67,3.588930058
3.675,3.640066318
3.68,3.622576401
3.685,3.584492746
