time_ps,kappa1,kappa2,kappa3,kappa4,kappa5,kappa6,kappa7,kappa8,kappa9,kappa10,kappa11,kappa12,kappa13,kappa14,kappa15,kappa16,kappa17,kappa18,kappa19,kappa20,kappa21,kappa22,kappa23,kappa24,kappa25,kappa26,kappa27,kappa28,kappa29,kappa30,kappa31,kappa32,kappa33,kappa34,kappa35,kappa36,kappa37,kappa38,kappa39,kappa40,kappa41,kappa42,kappa43,kappa44,kappa45,kappa46,kappa47,kappa48,kappa49,kappa50
0.125,1.433944,1.449873,1.36684,1.412661,1.524592,1.486911,1.43759,1.44185,1.425552,1.435538,1.433983,1.442345,1.467088,1.394686,1.383426,1.490016,1.454326,1.401961,1.471302,1.509237,1.416628,1.385208,1.445382,1.413647,1.400772,1.426181,1.457199,1.459872,1.499386,1.47599,1.51577,1.391155,1.478019,1.390262,1.433373,1.4638,1.448555,1.461974,1.411794,1.426181,1.453765,1.398145,1.46395,1.417317,1.491851,1.419276,1.43759,1.452499,1.401721,1.366237
0.13,1.729309,1.735282,1.647924,1.681516,1.817209,1.772004,1.730866,1.721881,1.699069,1.718323,1.698995,1.719409,1.746796,1.674575,1.666677,1.76676,1.73049,1.676317,1.759816,1.789039,1.693335,1.671851,1.722303,1.700982,1.68112,1.699015,1.722286,1.737984,1.77937,1.746272,1.807259,1.661282,1.774467,1.663116,1.717009,1.737283,1.728351,1.738012,1.691078,1.699015,1.731464,1.673075,1.74972,1.7044,1.784336,1.696383,1.730866,1.733881,1.688658,1.636263
0.135,1.331268,1.35747,1.278229,1.332093,1.41809,1.397388,1.349584,1.362844,1.348292,1.323835,1.352853,1.358878,1.379229,1.306801,1.288669,1.394837,1.390894,1.308515,1.378671,1.419946,1.337461,1.293915,1.368784,1.326724,1.304327,1.330588,1.381304,1.385867,1.403337,1.381443,1.413346,1.298283,1.384723,1.290457,1.34755,1.375744,1.354887,1.379075,1.329544,1.330588,1.336743,1.293415,1.358417,1.345828,1.396363,1.349814,1.349584,1.366392,1.312456,1.294113
0.14,1.255108,1.28296,1.218262,1.26331,1.354366,1.330585,1.293974,1.301547,1.298801,1.255359,1.290154,1.286248,1.310628,1.238394,1.221904,1.321786,1.330411,1.232034,1.310974,1.360472,1.277577,1.246845,1.309955,1.244278,1.231067,1.272665,1.32517,1.316386,1.328148,1.320982,1.352386,1.239831,1.316995,1.204613,1.29496,1.313071,1.284131,1.318345,1.253559,1.272665,1.265617,1.224643,1.291498,1.284597,1.324033,1.288064,1.293974,1.297238,1.246107,1.239443
0.145,1.700452,1.710438,1.644886,1.66441,1.807598,1.758296,1.738469,1.719786,1.716385,1.688584,1.684687,1.700639,1.729309,1.66221,1.65149,1.741002,1.736885,1.643775,1.742794,1.784774,1.691704,1.688774,1.72554,1.66355,1.655954,1.696721,1.728324,1.722061,1.752345,1.739652,1.800654,1.655917,1.76059,1.614271,1.728955,1.728833,1.706386,1.73539,1.66974,1.696721,1.700712,1.647389,1.728991,1.706341,1.761717,1.693189,1.738469,1.71559,1.676924,1.637688
0.15,1.696171,1.716236,1.630137,1.673942,1.793879,1.754608,1.716791,1.713838,1.699632,1.660903,1.672109,1.714654,1.724255,1.67403,1.64498,1.749635,1.746667,1.65172,1.727954,1.770363,1.678187,1.653084,1.718324,1.671193,1.666938,1.683401,1.722415,1.729404,1.761015,1.731103,1.778662,1.641177,1.747526,1.632837,1.711413,1.722158,1.705929,1.730907,1.696024,1.683401,1.689261,1.63791,1.715114,1.700129,1.757568,1.683827,1.716791,1.713737,1.673366,1.613474
0.155,1.455271,1.488151,1.395487,1.462622,1.553102,1.528412,1.475714,1.490446,1.47472,1.416266,1.452943,1.499084,1.494908,1.460654,1.415037,1.534213,1.532991,1.434075,1.490501,1.540235,1.44958,1.406241,1.495196,1.441109,1.448706,1.458415,1.506402,1.51212,1.540641,1.509016,1.533928,1.417664,1.505564,1.416358,1.478056,1.502587,1.479593,1.5093,1.487145,1.458415,1.456518,1.409125,1.484332,1.470234,1.522495,1.45641,1.475714,1.489372,1.443533,1.385395
0.16,1.596307,1.611739,1.537308,1.576548,1.710614,1.667383,1.639073,1.629747,1.624884,1.569688,1.584258,1.61422,1.623766,1.590707,1.554793,1.65808,1.645777,1.554404,1.637938,1.684917,1.589311,1.575675,1.635087,1.556706,1.570403,1.611322,1.640788,1.622808,1.670447,1.651867,1.694221,1.567814,1.656366,1.520268,1.630273,1.646701,1.608266,1.643127,1.594142,1.611322,1.606036,1.546736,1.642009,1.60292,1.659028,1.584976,1.639073,1.619166,1.576718,1.525253
0.165,1.591543,1.603399,1.536257,1.568472,1.70589,1.660782,1.647119,1.634206,1.630804,1.565554,1.584971,1.603494,1.617267,1.583717,1.549496,1.643295,1.635087,1.548384,1.638993,1.681577,1.590976,1.582328,1.640348,1.549848,1.55646,1.61253,1.640992,1.609471,1.662506,1.648771,1.693298,1.576216,1.656426,1.503758,1.626578,1.648016,1.5975,1.634356,1.579157,1.61253,1.601805,1.538505,1.642349,1.602435,1.652644,1.590571,1.647119,1.61574,1.565002,1.531381
0.17,1.350264,1.379735,1.296756,1.359623,1.446714,1.421757,1.393658,1.410201,1.389473,1.306808,1.36063,1.387181,1.385194,1.361508,1.309737,1.418562,1.419541,1.337074,1.394296,1.435663,1.350685,1.318304,1.410515,1.33306,1.338893,1.363997,1.407795,1.398258,1.431629,1.405114,1.429877,1.346145,1.404473,1.295569,1.370179,1.411957,1.363289,1.39555,1.374924,1.363997,1.354521,1.298285,1.399589,1.374476,1.420067,1.37062,1.393658,1.396357,1.324879,1.300866
0.175,1.533606,1.551412,1.459163,1.516276,1.626638,1.589058,1.562293,1.574784,1.538726,1.475391,1.509125,1.54782,1.544968,1.529942,1.477171,1.58948,1.569883,1.506432,1.562191,1.595097,1.497173,1.48188,1.560712,1.503867,1.518147,1.520843,1.549706,1.563304,1.598808,1.555662,1.601509,1.507752,1.575398,1.466907,1.523691,1.568034,1.529949,1.551246,1.546742,1.520843,1.528395,1.463654,1.579654,1.53298,1.602936,1.51955,1.562293,1.565552,1.490389,1.446547
0.18,1.67408,1.667623,1.583798,1.620798,1.774933,1.721977,1.703606,1.700884,1.668874,1.618948,1.62987,1.656987,1.665991,1.649705,1.608118,1.712802,1.67248,1.619082,1.697695,1.726373,1.619317,1.625425,1.677353,1.620037,1.636847,1.660261,1.675791,1.673091,1.72873,1.681397,1.750738,1.63491,1.713358,1.581989,1.650176,1.6965,1.659023,1.679019,1.653497,1.660261,1.670674,1.592955,1.714143,1.642006,1.733434,1.626484,1.703606,1.676503,1.612732,1.563657
0.185,1.153791,1.153846,1.078523,1.140233,1.255627,1.226925,1.192616,1.213307,1.193125,1.111095,1.166711,1.163384,1.170577,1.154394,1.107406,1.220827,1.189561,1.119436,1.189255,1.23375,1.132709,1.116456,1.188709,1.112934,1.13202,1.179285,1.218043,1.184213,1.237351,1.197934,1.23884,1.147444,1.193335,1.092288,1.147108,1.213659,1.165714,1.199363,1.154658,1.179285,1.167296,1.094977,1.1916,1.129115,1.212705,1.135504,1.192616,1.163824,1.104195,1.086103
0.19,0.947012,0.949627,0.876494,0.950079,1.048986,1.030586,0.988704,1.018524,0.9992,0.904627,0.977607,0.966228,0.973107,0.960247,0.909456,1.027617,0.997587,0.916897,0.981046,1.03516,0.929869,0.911869,0.98964,0.910622,0.937816,0.980912,1.025309,0.991325,1.037272,1.003507,1.031724,0.955376,0.979904,0.898381,0.946598,1.015495,0.967092,1.004912,0.95851,0.980912,0.964939,0.894024,0.984749,0.922491,1.010054,0.936405,0.988704,0.959402,0.904361,0.891038
0.195,1.513111,1.494695,1.416295,1.462339,1.614212,1.569665,1.545167,1.548613,1.516821,1.448179,1.476418,1.49052,1.507464,1.494925,1.454388,1.555661,1.511786,1.438395,1.52499,1.566367,1.445883,1.463288,1.510849,1.454143,1.478885,1.50148,1.521637,1.514184,1.566463,1.527148,1.586855,1.487175,1.533524,1.424493,1.485889,1.534081,1.498935,1.523931,1.487675,1.50148,1.507759,1.42335,1.539879,1.461185,1.571715,1.455908,1.545167,1.495194,1.449344,1.401725
0.2,1.716087,1.702332,1.614247,1.662375,1.809417,1.763787,1.740991,1.749587,1.706448,1.62861,1.660011,1.692549,1.705896,1.694931,1.651667,1.747803,1.716974,1.634057,1.720033,1.756425,1.636969,1.65285,1.709538,1.665881,1.676988,1.681749,1.711003,1.718839,1.758634,1.717492,1.77423,1.684263,1.727972,1.628301,1.677383,1.723915,1.694289,1.715786,1.69635,1.681749,1.691434,1.60627,1.732785,1.671105,1.776558,1.659113,1.740991,1.69782,1.648352,1.594464
0.205,1.373352,1.382305,1.296597,1.366417,1.472431,1.441829,1.412119,1.443952,1.40544,1.290266,1.361906,1.382697,1.387248,1.383069,1.329704,1.432984,1.426216,1.318111,1.391286,1.441641,1.327743,1.327481,1.408163,1.345235,1.355889,1.364729,1.421682,1.4183,1.434226,1.41118,1.435346,1.379328,1.387616,1.31666,1.359961,1.416558,1.376836,1.411582,1.389391,1.364729,1.356535,1.279583,1.399139,1.362216,1.442672,1.357791,1.412119,1.383481,1.32845,1.299293
0.21,1.424421,1.425072,1.352577,1.403625,1.547863,1.49523,1.483691,1.496603,1.474703,1.357018,1.410429,1.417704,1.432283,1.43109,1.388105,1.47859,1.469056,1.352451,1.451077,1.508167,1.381752,1.412195,1.465744,1.378265,1.397278,1.431656,1.480122,1.455954,1.47899,1.477183,1.508836,1.439429,1.448265,1.346644,1.430148,1.475627,1.428342,1.471201,1.419551,1.431656,1.419765,1.334632,1.461628,1.40898,1.490455,1.400351,1.483691,1.424151,1.384912,1.356129
0.215,1.646698,1.636878,1.559314,1.599576,1.776567,1.706144,1.704528,1.700967,1.684791,1.574479,1.60349,1.621065,1.639925,1.640607,1.604368,1.684965,1.670651,1.556032,1.670311,1.722476,1.584967,1.634494,1.675829,1.590002,1.605557,1.644125,1.682521,1.655474,1.693158,1.689799,1.731866,1.641485,1.674758,1.553356,1.646174,1.682981,1.63986,1.678659,1.622452,1.644125,1.641296,1.547767,1.676685,1.611366,1.705407,1.596917,1.704528,1.621142,1.599472,1.551654
0.22,1.489316,1.498053,1.397805,1.471374,1.603162,1.551901,1.531415,1.550405,1.524114,1.39942,1.453175,1.490283,1.492935,1.503571,1.448695,1.547551,1.544571,1.427441,1.510147,1.5609,1.424751,1.448711,1.530229,1.460168,1.472554,1.477826,1.533551,1.527401,1.551554,1.532019,1.547676,1.479982,1.513982,1.435218,1.479166,1.527275,1.49174,1.524891,1.50287,1.477826,1.48156,1.396268,1.511077,1.461388,1.554689,1.448848,1.531415,1.473985,1.449093,1.393835
0.225,1.497415,1.50949,1.406492,1.483426,1.609902,1.560417,1.542572,1.559677,1.529939,1.405646,1.456891,1.496462,1.500761,1.51451,1.454475,1.558951,1.555591,1.443932,1.518966,1.566376,1.425376,1.456097,1.539821,1.471315,1.48899,1.48015,1.534193,1.539371,1.554978,1.531663,1.546136,1.488724,1.523851,1.447121,1.4832,1.530834,1.497654,1.526564,1.513288,1.48015,1.491396,1.407448,1.528355,1.472496,1.570546,1.454295,1.542572,1.487892,1.457071,1.401555
